mechanism,split,score_thr,metric,score_min_exportado,TP,FP,FN,precision,recall,f1
btm_forest_soup,field_work,0.4,S-IoU,0.0201,138,8,1624,94.52054794520548,7.832009080590238,14.465408805031446
btm_forest_soup,field_work,0.45,S-IoU,0.0201,108,3,1658,97.2972972972973,6.115515288788222,11.507725093233883
btm_forest_soup,field_work,0.5,S-IoU,0.0201,68,2,1698,97.14285714285714,3.8505096262740657,7.407407407407408
btm_forest_soup,field_work,0.55,S-IoU,0.0201,42,2,1726,95.45454545454545,2.3755656108597285,4.635761589403973
btm_forest_soup,field_work,0.6,S-IoU,0.0201,20,1,1749,95.23809523809523,1.1305822498586773,2.2346368715083798
btm_forest_soup,field_work,0.7,S-IoU,0.0201,5,0,1766,100.0,0.282326369282891,0.5630630630630631
btm_forest_soup,field_work,0.8,S-IoU,0.0201,0,0,1771,0.0,0.0,0.0
btm_forest_soup,field_work,0.9,S-IoU,0.0201,0,0,1771,0.0,0.0,0.0
btm_forest_soup,test,0.02,IoU,0.0201,487,168,203,74.35114503816794,70.57971014492753,72.41635687732342
btm_forest_soup,test,0.05,IoU,0.0201,430,82,260,83.984375,62.31884057971014,71.54742096505822
btm_forest_soup,test,0.1,IoU,0.0201,362,46,328,88.72549019607843,52.46376811594203,65.93806921675775
btm_forest_soup,test,0.15,IoU,0.0201,332,30,358,91.71270718232044,48.11594202898551,63.11787072243346
btm_forest_soup,test,0.2,IoU,0.0201,296,17,394,94.56869009584665,42.89855072463768,59.02293120638086
btm_forest_soup,test,0.25,IoU,0.0201,260,10,430,96.29629629629629,37.68115942028986,54.16666666666667
btm_forest_soup,test,0.3,IoU,0.0201,212,3,478,98.6046511627907,30.72463768115942,46.85082872928177
btm_forest_soup,test,0.35,IoU,0.0201,174,1,516,99.42857142857143,25.217391304347824,40.23121387283237
btm_forest_soup,test,0.4,IoU,0.0201,143,0,547,100.0,20.724637681159418,34.333733493397354
btm_forest_soup,test,0.45,IoU,0.0201,99,0,591,100.0,14.347826086956522,25.09505703422053
btm_forest_soup,test,0.5,IoU,0.0201,78,0,612,100.0,11.304347826086957,20.3125
btm_forest_soup,test,0.55,IoU,0.0201,47,0,643,100.0,6.811594202898551,12.754409769335142
btm_forest_soup,test,0.6,IoU,0.0201,30,0,660,100.0,4.3478260869565215,8.333333333333332
btm_forest_soup,test,0.7,IoU,0.0201,2,0,688,100.0,0.2898550724637681,0.5780346820809248
btm_forest_soup,test,0.8,IoU,0.0201,0,0,690,0.0,0.0,0.0
btm_forest_soup,test,0.9,IoU,0.0201,0,0,690,0.0,0.0,0.0
btm_forest_soup,test,0.02,S-IoU,0.0201,502,153,174,76.6412213740458,74.2603550295858,75.4320060105184
btm_forest_soup,test,0.05,S-IoU,0.0201,433,79,235,84.5703125,64.82035928143712,73.38983050847457
btm_forest_soup,test,0.1,S-IoU,0.0201,360,48,310,88.23529411764706,53.73134328358209,66.79035250463822
btm_forest_soup,test,0.15,S-IoU,0.0201,330,32,343,91.16022099447514,49.03417533432392,63.76811594202898
btm_forest_soup,test,0.2,S-IoU,0.0201,293,20,380,93.61022364217251,43.536404160475485,59.43204868154158
btm_forest_soup,test,0.25,S-IoU,0.0201,257,13,419,95.18518518518519,38.01775147928994,54.33403805496828
btm_forest_soup,test,0.3,S-IoU,0.0201,211,4,473,98.13953488372093,30.84795321637427,46.941045606229146
btm_forest_soup,test,0.35,S-IoU,0.0201,173,2,513,98.85714285714286,25.218658892128282,40.185830429732874
btm_forest_soup,test,0.4,S-IoU,0.0201,142,1,546,99.3006993006993,20.63953488372093,34.17569193742479
btm_forest_soup,test,0.45,S-IoU,0.0201,98,1,591,98.98989898989899,14.223512336719885,24.87309644670051
btm_forest_soup,test,0.5,S-IoU,0.0201,77,1,612,98.71794871794873,11.175616835994195,20.078226857887874
btm_forest_soup,test,0.55,S-IoU,0.0201,47,0,643,100.0,6.811594202898551,12.754409769335142
btm_forest_soup,test,0.6,S-IoU,0.0201,30,0,660,100.0,4.3478260869565215,8.333333333333332
btm_forest_soup,test,0.7,S-IoU,0.0201,2,0,688,100.0,0.2898550724637681,0.5780346820809248
btm_forest_soup,test,0.8,S-IoU,0.0201,0,0,690,0.0,0.0,0.0
btm_forest_soup,test,0.9,S-IoU,0.0201,0,0,690,0.0,0.0,0.0
dense_baseline,field_work,0.01,IoU,0.2502502501010895,1207,460,564,72.40551889622076,68.15358554488989,70.2152414194299
dense_baseline,field_work,0.05,IoU,0.2502502501010895,1207,460,564,72.40551889622076,68.15358554488989,70.2152414194299
dense_baseline,field_work,0.1,IoU,0.2502502501010895,1207,460,564,72.40551889622076,68.15358554488989,70.2152414194299
dense_baseline,field_work,0.15,IoU,0.2502502501010895,1207,460,564,72.40551889622076,68.15358554488989,70.2152414194299
dense_baseline,field_work,0.2,IoU,0.2502502501010895,1207,460,564,72.40551889622076,68.15358554488989,70.2152414194299
dense_baseline,field_work,0.25,IoU,0.2502502501010895,1207,460,564,72.40551889622076,68.15358554488989,70.2152414194299
dense_baseline,field_work,0.3,IoU,0.2502502501010895,1148,367,623,75.77557755775578,64.82213438735178,69.87218502738892
dense_baseline,field_work,0.35,IoU,0.2502502501010895,1093,306,678,78.12723373838456,61.71654432523997,68.95899053627761
dense_baseline,field_work,0.4,IoU,0.2502502501010895,1048,234,723,81.74726989079562,59.17560700169396,68.65378316410087
dense_baseline,field_work,0.45,IoU,0.2502502501010895,984,185,787,84.17450812660393,55.56182947487295,66.93877551020407
dense_baseline,field_work,0.5,IoU,0.2502502501010895,921,150,850,85.99439775910365,52.00451722190853,64.81351161154117
dense_baseline,field_work,0.55,IoU,0.2502502501010895,846,112,925,88.30897703549061,47.76962168266516,62.00073286918284
dense_baseline,field_work,0.6,IoU,0.2502502501010895,768,73,1003,91.31985731272296,43.36533032185206,58.80551301684533
dense_baseline,field_work,0.7,IoU,0.2502502501010895,593,31,1178,95.03205128205128,33.48390739695088,49.519832985386216
