experiment,split,mechanism,threshold,metric,TP,FP,FN,precision,recall,f1,mAP50,mAP50_95
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E2_illum_solo,@75,S-IoU,692,727,550,48.766737138830166,55.716586151368766,52.010522360015024,0.6108830489816067,0.369478356989785
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E3_geom_solo,@50,IoU,1146,306,625,78.92561983471074,64.70920383963862,71.1138690660875,0.6116801836925532,0.3259106369443345
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E3_geom_solo,@50,S-IoU,917,535,390,63.15426997245179,70.16067329762815,66.47335991301196,0.6116801836925532,0.3259106369443345
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E3_geom_solo,@75,IoU,746,706,1025,51.37741046831956,42.12309429700734,46.29227427862241,0.6116801836925532,0.3259106369443345
juniperus_btm_homogeneous_20260824_103026,field_work,expert_E3_geom_solo,@75,S-IoU,711,741,472,48.96694214876033,60.10143702451395,53.96584440227704,0.6116801836925532,0.3259106369443345
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_ensemble_uniform,@50,IoU,1285,535,486,70.6043956043956,72.55787690570298,71.56780840991368,0.6793971189505672,0.4013954169003294
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_ensemble_uniform,@50,S-IoU,1059,761,277,58.18681318681319,79.26646706586826,67.11026615969581,0.6793971189505672,0.4013954169003294
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_ensemble_uniform,@75,IoU,904,916,867,49.67032967032967,51.0446075663467,50.348092453355605,0.6793971189505672,0.4013954169003294
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_ensemble_uniform,@75,S-IoU,797,1023,350,43.79120879120879,69.48561464690496,53.724300640377486,0.6793971189505672,0.4013954169003294
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_ensemble_weighted,@50,IoU,1285,536,486,70.56562328390994,72.55787690570298,71.5478841870824,0.6793353048204527,0.40154989144695474
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_ensemble_weighted,@50,S-IoU,1058,763,277,58.099945085118065,79.25093632958801,67.0468948035488,0.6793353048204527,0.40154989144695474
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_ensemble_weighted,@75,IoU,905,916,866,49.69796814936848,51.10107284020328,50.38975501113585,0.6793353048204527,0.40154989144695474
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_ensemble_weighted,@75,S-IoU,797,1024,350,43.76716090060406,69.48561464690496,53.70619946091644,0.6793353048204527,0.40154989144695474
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_soup,@50,IoU,925,169,846,84.55210237659963,52.23037831733484,64.57242582897032,0.4923832619690071,0.25605572879520583
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_soup,@50,S-IoU,696,398,729,63.61974405850091,48.84210526315789,55.26002381897578,0.4923832619690071,0.25605572879520583
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_soup,@75,IoU,574,520,1197,52.46800731261426,32.41106719367589,40.069808027923216,0.4923832619690071,0.25605572879520583
juniperus_btm_homogeneous_20260824_103026,field_work,btm_forest_soup,@75,S-IoU,563,531,802,51.46252285191956,41.24542124542124,45.79097193981293,0.4923832619690071,0.25605572879520583
juniperus_btm_homogeneous_20260824_103026,field_work,random_ensemble,@50,IoU,1282,494,489,72.18468468468468,72.38848108413326,72.28643924443193,0.676725898295992,0.40590193266549035
juniperus_btm_homogeneous_20260824_103026,field_work,random_ensemble,@50,S-IoU,1057,719,236,59.51576576576577,81.7478731631864,68.88237210817857,0.676725898295992,0.40590193266549035
juniperus_btm_homogeneous_20260824_103026,field_work,random_ensemble,@75,IoU,911,865,860,51.29504504504504,51.439864483342745,51.367352692416134,0.676725898295992,0.40590193266549035
juniperus_btm_homogeneous_20260824_103026,field_work,random_ensemble,@75,S-IoU,795,981,347,44.763513513513516,69.61471103327496,54.4893762851268,0.676725898295992,0.40590193266549035
juniperus_seg_by_region_20260828_114011,test,dense_baseline,@50,IoU,607,186,83,76.54476670870113,87.97101449275362,81.86109238031018,0.8475021767897865,0.5671423695138776
juniperus_seg_by_region_20260828_114011,test,dense_baseline,@50,S-IoU,612,181,41,77.17528373266079,93.72128637059724,84.64730290456431,0.8475021767897865,0.5671423695138776
juniperus_seg_by_region_20260828_114011,test,dense_baseline,@75,IoU,494,299,196,62.295081967213115,71.59420289855073,66.62171274443696,0.8475021767897865,0.5671423695138776
juniperus_seg_by_region_20260828_114011,test,dense_baseline,@75,S-IoU,562,231,52,70.87011349306431,91.53094462540716,79.8862828713575,0.8475021767897865,0.5671423695138776
juniperus_seg_by_region_20260828_114011,test,expert_E_region0_solo,@50,IoU,623,198,67,75.8830694275274,90.28985507246377,82.46194573130377,0.871816299053488,0.5877175696129545
juniperus_seg_by_region_20260828_114011,test,expert_E_region0_solo,@50,S-IoU,627,194,30,76.37028014616321,95.4337899543379,84.84438430311232,0.871816299053488,0.5877175696129545
juniperus_seg_by_region_20260828_114011,test,expert_E_region0_solo,@75,IoU,493,328,197,60.048721071863575,71.44927536231884,65.25479814692255,0.871816299053488,0.5877175696129545
