experiment,mechanism,split,overlap,score_thr,metric,score_min,TP,FP,FN,precision,recall,f1
distilled,destilado,test,50,0.45,S-IoU,0.2506077289581299,592,133,60,81.65517241379311,90.79754601226993,85.9840232389252
distilled,destilado,test,50,0.5,IoU,0.2506077289581299,583,112,107,83.88489208633094,84.4927536231884,84.18772563176896
distilled,destilado,test,50,0.5,S-IoU,0.2506077289581299,584,111,67,84.02877697841727,89.70814132104454,86.77563150074293
distilled,destilado,test,50,0.55,IoU,0.2506077289581299,573,79,117,87.88343558282209,83.04347826086956,85.39493293591654
distilled,destilado,test,50,0.55,S-IoU,0.2506077289581299,570,82,83,87.42331288343557,87.28943338437979,87.35632183908046
distilled,destilado,test,50,0.6,IoU,0.2506077289581299,550,57,140,90.60955518945634,79.71014492753623,84.81110254433307
distilled,destilado,test,50,0.6,S-IoU,0.2506077289581299,547,60,111,90.11532125205932,83.1306990881459,86.48221343873517
distilled,destilado,test,50,0.65,IoU,0.2506077289581299,525,41,165,92.75618374558304,76.08695652173914,83.59872611464968
distilled,destilado,test,50,0.65,S-IoU,0.2506077289581299,520,46,142,91.87279151943463,78.54984894259819,84.69055374592834
distilled,destilado,test,50,0.7,IoU,0.2506077289581299,492,29,198,94.43378119001919,71.30434782608695,81.25516102394715
distilled,destilado,test,50,0.7,S-IoU,0.2506077289581299,489,32,177,93.85796545105566,73.42342342342343,82.39258635214827
distilled,destilado,field_work,50,0.15,IoU,0.05001379922032356,1249,823,522,60.27992277992278,70.52512704686617,65.00130106687484
distilled,destilado,field_work,50,0.15,S-IoU,0.05001379922032356,1346,726,331,64.96138996138995,80.2623732856291,71.80581488396905
distilled,destilado,field_work,50,0.2,IoU,0.05001379922032356,1212,667,559,64.50239489089941,68.43591191417279,66.41095890410959
distilled,destilado,field_work,50,0.2,S-IoU,0.05001379922032356,1272,607,378,67.69558275678553,77.0909090909091,72.0884103145367
