model,label,split,geometry,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.1,IoU,456,273,234,62.55144032921811,66.08695652173913,64.27061310782241
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.1,S-IoU,423,306,74,58.0246913580247,85.11066398390342,69.00489396411093
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.2,IoU,453,225,237,66.8141592920354,65.65217391304347,66.2280701754386
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.2,S-IoU,419,259,79,61.799410029498524,84.13654618473896,71.25850340136054
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.25,IoU,451,214,239,67.81954887218045,65.36231884057972,66.56826568265683
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.25,S-IoU,417,248,84,62.70676691729323,83.23353293413174,71.52658662092624
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.3,IoU,450,201,240,69.12442396313364,65.21739130434783,67.11409395973155
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.3,S-IoU,414,237,90,63.594470046082954,82.14285714285714,71.6883116883117
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.4,IoU,444,187,246,70.36450079239303,64.34782608695652,67.221801665405
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.4,S-IoU,406,225,102,64.34231378763867,79.92125984251969,71.29060579455664
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.5,IoU,443,175,247,71.68284789644012,64.20289855072464,67.73700305810397
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.5,S-IoU,402,216,107,65.0485436893204,78.97838899803537,71.33984028393967
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.6,IoU,440,160,250,73.33333333333333,63.76811594202898,68.21705426356588
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.6,S-IoU,401,199,117,66.83333333333333,77.41312741312741,71.73524150268335
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.7,IoU,436,150,254,74.40273037542661,63.18840579710145,68.3385579937304
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.7,S-IoU,397,189,127,67.74744027303754,75.76335877862596,71.53153153153153
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.8,IoU,430,136,260,75.97173144876325,62.31884057971014,68.47133757961782
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.8,S-IoU,390,176,138,68.90459363957598,73.86363636363636,71.29798903107861
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.9,IoU,420,117,270,78.2122905027933,60.86956521739131,68.45965770171149
codetr_r50_aug,Co-DETR R50 + aug/LR ciclico,test,bbox,75,0.9,S-IoU,381,156,160,70.94972067039106,70.42513863216267,70.68645640074213
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.05,IoU,518,2947,172,14.949494949494948,75.07246376811594,24.9338146811071
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.05,S-IoU,1473,1992,32,42.51082251082251,97.87375415282392,59.27565392354124
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.1,IoU,509,1844,181,21.631959201019974,73.76811594202898,33.453828458757805
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.1,S-IoU,1224,1129,37,52.01869953251169,97.06582077716098,67.7365799667958
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.2,IoU,493,990,197,33.2434254888739,71.44927536231884,45.37505752416015
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.2,S-IoU,909,574,56,61.29467296021578,94.19689119170984,74.26470588235294
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.25,IoU,485,749,205,39.3030794165316,70.28985507246377,50.41580041580042
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.25,S-IoU,800,434,67,64.82982171799027,92.2722029988466,76.15421227986673
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.3,IoU,477,598,213,44.372093023255815,69.1304347826087,54.05099150141643
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.3,S-IoU,724,351,84,67.34883720930233,89.60396039603961,76.89856611789698
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.4,IoU,432,339,258,56.03112840466926,62.60869565217392,59.13757700205339
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.4,S-IoU,550,221,139,71.33592736705577,79.82583454281567,75.34246575342466
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.5,IoU,363,171,327,67.97752808988764,52.60869565217391,59.31372549019609
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.5,S-IoU,405,129,237,75.84269662921348,63.084112149532714,68.87755102040816
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.6,IoU,267,81,423,76.72413793103449,38.69565217391304,51.4450867052023
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.6,S-IoU,271,77,364,77.87356321839081,42.67716535433071,55.137334689725336
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.7,IoU,168,31,522,84.42211055276381,24.347826086956523,37.79527559055118
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.7,S-IoU,162,37,489,81.4070351758794,24.88479262672811,38.117647058823536
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.8,IoU,65,8,625,89.04109589041096,9.420289855072465,17.03800786369594
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.8,S-IoU,65,8,614,89.04109589041096,9.572901325478647,17.287234042553195
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.9,IoU,1,0,689,100.0,0.14492753623188406,0.28943560057887124
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,50,0.9,S-IoU,1,0,689,100.0,0.14492753623188406,0.28943560057887124
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.05,IoU,273,3192,417,7.878787878787878,39.565217391304344,13.140794223826715
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.05,S-IoU,723,2742,91,20.865800865800864,88.82063882063882,33.79294227623276
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.1,IoU,270,2083,420,11.474713132171695,39.130434782608695,17.745645744331252
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.1,S-IoU,646,1707,107,27.454313642158944,85.79017264276229,41.596909207984545
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.2,IoU,259,1224,431,17.4645987862441,37.53623188405797,23.838011965025313
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.2,S-IoU,503,980,146,33.91773432231962,77.50385208012327,47.18574108818011
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.25,IoU,256,978,434,20.74554294975689,37.10144927536232,26.611226611226606
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.25,S-IoU,456,778,170,36.95299837925446,72.84345047923323,49.03225806451613
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.3,IoU,251,824,439,23.348837209302324,36.3768115942029,28.44192634560907
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.3,S-IoU,420,655,193,39.06976744186046,68.51549755301795,49.763033175355446
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.4,IoU,223,548,467,28.92347600518807,32.31884057971015,30.527036276522928
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.4,S-IoU,328,443,251,42.54215304798962,56.649395509499136,48.592592592592595
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.5,IoU,198,336,492,37.07865168539326,28.695652173913043,32.35294117647059
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.5,S-IoU,266,268,339,49.812734082397,43.96694214876033,46.707638279192274
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.6,IoU,151,197,539,43.39080459770115,21.884057971014492,29.09441233140655
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.6,S-IoU,189,159,444,54.310344827586206,29.85781990521327,38.53211009174312
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.7,IoU,102,97,588,51.256281407035175,14.782608695652174,22.94713160854893
